class	tweet
0	onglyza - important drug for $azn and $bmy - much more $azn .. ppl will look at heart failure data closely, affect sales.
0	i can see it now triple p, prozac, pizzas and pastries!
0	januvia diarrhea potato pee hippy a kleenex. ween. you delorean paul heyman great wall. peed on luke skywalker dubstep paula abdul
0	sigh u sittin so good, cuz i in dat state right now.... i need some cymbalta (the drug for depression) right now!
1	sure is! i no longer even own a car after being crippled by cipro (a bayer product!). who needs a car when you can't walk!?
0	dick wolf george strait rosary diarrhea gummy new york city overseas spiriva writing. a defiant, vendor strength privy rob hubbard
1	taking someone off mg off seroquel, mixing it with olanzapine in wks causes psychosis - a proper assess was not done.
0	is anyone on an antipsychotic they can actually tolerate? i can tolerate a low dose of olanzapine mg
0	ffs, lawrie can be temazipam for the ears somemtimes....
0	this metformin working overtime today
0	specialist virtual clinics support prim. care reduce inappropriate triple therapy in copd
0	thanks for the info. i wanted to ask about the new way velcade is given to people with multiple myeloma on the inside
1	- severe depression induced by rimonabant is described as frequent; this isn't a one time event
1	remember . vioxx costs $65m to ontario drug benefit: x more than ibuprofen, slightly more effective and was linked to heart attacks!
0	i gave up when she recommended levofloxacin for someone admitted with seizures
0	trihexyphenidyl = anticholinergic = ttt of&gt;&gt;&gt;&gt; epse rivastigmine = acetylcholinesterase inhibitor &gt;&gt;&gt; cause epse
1	god there is nothing worse than nicotine withdrawal
1	"""i'm hereee"" *runs out half asleep, in pjs and hair a wreck* ""thanks dude. adderall saves lives"""
1	havent been able to take my neurontin because that combined with all my other meds makes me to tired
0	effer is the worst drug in the mother fucking world jesus goooododofasdfosdfosdf
1	trazodone is no joke. slept through every alarm.
1	today is a rubbish health day and it's all been caused by one little imodium tablet. i can never win the with my organs.
0	crestor commercials are unbearable
1	humira made me have a bad rash on my stomach and broke out with bad psoriasis on my leg. can't wait to start remicade
1	i had a very bad reaction to victoza and the fever it caused sent my glucose up to &amp; i had to go back to insulin to sort.
0	humira may lower your abilities to fight infections.
1	took pills of lamictal cause that shit will fuck you up. yo eyes are outta focus and you can't walk straight but your happy as hell.
0	humira adalimunab. xeljanz tofacitinib. does big pharma take its drug names from tolkein characters? or the weekly word jumble?
0	rt : wtf nigga.. go get some rest brutha, feeling like you popped a seroquel. lol
0	rt : multiparametric comparison of carvedilol, vs. nebivolol, vs. bisoprolol in moderate heart failure.
1	the dreams i have while on oxycodone are inane and way too real!
0	nothing a little prozac chased down with the holy water can't fix
0	now showing exubera and lung cancer $mnkd is not exubera completely different wtf
0	also, who kept coughing? take a lozenge next time honestly some people.
1	took adderall and got my homework done quicker than eected now i cant sleep
0	i accidentally ordered bottles of brand name lamictal and our vendor won't take them back. fml
0	i need enex
1	i hate to hear that. taking seroquel is like swallowing a sleeping pill when u wake up then trying to function normally
1	only had the gabapentin today and i am feeling it now. god my feet hurt!
0	awww...when your bff knows how constipated you've been &amp; she gets u free miralax samples. true friendship, folks. lol
0	so watching an ad for cymbalta... more than half deal with side effects...
0	ur dreaming mate seriously yesterday you was viox wat you today bt again what a fucking show up
0	she uses ventolin inhaler yea and either qvar or dulera? either way, she betta be taking them!
0	ha! also, knowledge of jargon ≠ purchase intent. no one's heard of sildenafil citrate, but viagra's still selling well.
0	florida is in need of cymbalta! all this depression and shit!
0	think im gonna have to start taking my vyvanse again. my lack of motivation to do anything is scary
1	act now and get our deluxe cyde-fx set absolutely free! eerience lucid dreaming and sleep paralysis like never before!
0	my first nicotine today, and a cup of tea. what a wonderful day.
0	soy after taste face? try saphris after taste face mate
1	my last trip to quetiapine world nearly ended my marriage
0	the nuvaring is just as good
0	wow. ,000 people are on invokana, per the savvy nauman shah, vp of marketing at . they are super lucky.
