class	tweet
1	Ух, если понижение дозировки алпразолама так тяжело даётся, что же будет после отмены через неделю
0	Лоперамид прикупи чтоли я не знаю)))
0	Я за ЛГБТ:   Л - ламотриджин  Г - галоперидол  Б - баклофен  Т - трамадол Источник: @madsmartwoman
0	героиня на героине боярыня на боярышнике козаки на прозаке
0	Продам глюкофаж,аритмил [191]: Раздел: Аптека Автор: Форевер Размещено: 3.12.2017 в 12:41
0	Пример. Препарат Крестор - цена от 4635 до 8085р. Как может быть такой разброс цен?! Кто во что горазд.
0	Мне понравилось видео "Сахароснижающие таблетки Метформин"
0	Вспомнила историю про то как пыталась продать однокласснице линуксин вместо ксанакса
0	Подарок от терафлю - кружка. Так почему от флуоксетина нет веревки, например?
1	от ксанакса и не встанет
0	Я, короче, помню то время, когда твиттер был одной деревней, и каждое утро кто-то писал "доброе утречко, пидорасы))))))" А сейчас все за что-то топят и жрут флуоксетин какой-нибудь.
1	помню самое клевое и самое стремное одновременно было на прозаке я тогда похудела до 48 кг и не могла ничего писать вообще никак
1	Марин,приступ был не понятный какой-то. Затрясловсю от кишков до волос,в пот бросило,руки сука как каменные стали,ажно поднять только усилеем воли.Давку померила норм140/90 сердце было 94-97 ну я и хряпнула эгилок 50мг.Шатать начало померила,там 100/67 лежала,хз чё было,самавшоке
0	@ желудок почти не переносит молочку @ "ММММ А ЗАПЬЮ-КА Я ЛОПЕРАМИД МОЛОКОМ @ холодной воды в доме все равно нет.
1	@TheHomoErgaster @InPearly Для колли, шелти, келпи, и пары фидов овчарок опасны: гидрокортизон, декса, лоперамид Был мужик, что лечил водкой собаку, что упала в прорубь. Люди в лечатся так. А собака получила непоправимое поражение нервной системы. Пришлось усыпить.
0	В шестидесятых люди принимали кислоту, чтобы сделать мир странным. А сегодня мир стал странным, и люди принимают прозак, чтобы сделать его нормальным.
0	@5AllanLeVito в больницах закончились рецепты на Лоперамид((
1	После того, как я снова села на прегабалин, пидорасить стало поменьше, но зато стало так тоскливо, что хоть вешайся. Хорошо хоть муж рядом, да еще и свекровь приезжает. Я сейчас как никогда нуждаюсь в заботе и нежности.
0	@shura_kot @vashdruh Ну да, при неукротимой диарее лоперамид рулит.
1	рано пробудился, однако. триттико - оно такоэ.
0	Лучшее лекарство из всех. Теперь не надо меня в случае приступа кидать в ледяную ванну. Увы, люди не понимают что тестом на реакцию на вентолин определяют есть ли у человека астма, он не действует на тех, у кого ее нет. Как будто он каким-то волшебным образом легкие увеличивает.
0	СРОЧНО!! спортсмены сша принимали Оксикодон, гидроморфон, риталин-Это родственники морфина и героина
0	В организме Принса обнаружено обезболивающее средство "Перкосет", утверждает пресса  - #новости
0	@Scarlet_Sash Мне прописывали 3 вида капель - сигницеф, максидекс и хило-комод. От сухости вроде последний.
0	@Donna_132 @juliamayko @kysachaya Лориг тоже стремиццо к идеальной форме шараБУААзавтра ничинаю голодовку и сибутрамин на 60 дней)))
1	ну не хочу я спать по 2 дня подряд (фенибут) или же страдать от головной боли (атаракс, флуоксетин), не хочу жить без всего спектра эмоций (флуоксетин)
1	на тразодоне сплю свои восемь часов, кайнд оф йей
0	Кот походу мой баклосан нашёл и его норм так въебало
0	Система "Оранж" работает уже более пяти лет и к реформе не имеет отношения. Вам нужно у лечащего врача выписать рецепт на бесплатный Серетид и получить его в аптеке - это и будет проверка работы реформы. Желаю удачи.
1	99% жрет флуоксетин. Его всем подрят выписывают. Я его ел 3 месяца подряд в детстве прикола ради, в дозировках значительно превышающих терапевтические и на 3 месяц был вынужден отказаться из-за невыносимой побочки.
1	в аптеке есть замечательный препарат. ксанакс. мне в месяц по сто штук выписывают. я им просто объедаюсь. представь пред-оргазменное состояние, когда почти-почти кончил. вот оно- это весь трип ксанакса (4-6 часов)
1	под прозаком такое бывает. ёбнешь колесо и три часа всех любишь, радость дикая такая. потом, как отпускает, начинаются кары египетские.
0	крч все тот же флуоксетин я сегодня получила в больнице, теперь у меня его почти до ноября. а там мб к платному сьезжу
0	Первая неделя приёма метформина: ну водку я пить больше никогда не буду, может позволю себе бокал вина, но не буду пить таблетки в тот день.  Наши дни: запиваю метформин пивом.
0	Арифам(индапамид+амлодипин) и престилол(периндоприл+бисопролол) +метформин-уже интересней, но дороже
0	Обжегся на молоке - нужен ксанакс
1	Все заебись на велаксине  Ваще эйфория
0	Могу предложить адовый коктейль: ксанакс, фенобут, галпердол и димедрол. Но последствия на тебе и я откачивать не буду
0	Путь к моему сердцу лежит через прегабалин
