class	tweet
0	@username Le xanax marche pas sur moi
0	"@username ça rappelle les innombrables mentions de sponsors le soir quand t'attends ton émission à la télé... ""et parce qu'une diarrhée n'arrive jamais au bon moment, le Conseil des Ministres ce soir vous est présenté par Imodium...""  "
0	@username @username @username Ça ressemble à ce que j'ai vécu sauf que c'était un rgo interne, 2 fois plus douloureux et pas de signes cliniques flagrants. Il a fini par la ranitidine, l inexium c'était pire. Les preuves scientifiques au sujet du bienfaits de ces médicaments sont   link
0	J’ai pris mon Xanax on verra bien comment je réagis let’s hope I’ll be ok
0	@username Depuis que j'ai ma 203 j'ai eu quelques pannes : - câble de batterie oxydé (vert de gris) - flector d’embrayage cassé - pièces d'usure (bougies, rupteur, garnitures, embrayage parce que la boite était désaccouplée pour entretient). ... c'est tout. Et elle a roulé tous les jours !
0	@username Prends bien soin de toi, moi je touche du bois, pas encore eue besoin de retourner voir le médecin pour renouveller ma ventoline
0	@username Offrons lui une boîte de microlax pour Noël !
0	Je n'ai toujours pas trouvé de PRITOR+ 80, rupture de stock, donc en  France on peut mourir par rupture de stock............ Bravo Agnès  Buzyn. Combien de temps je vais tenir sans? link
0	"@username @username @username Pour être tout à fait exact , je leur explique que 10000 pas C’est 1% d’hba1c . Mais en quoi c’est + directif que ""prenez une metformine matin midi soir "" ?  C’est une prescription comme une autre pour moi"
0	@username G fait ça avec le Xanax ça soulage
0	@username @username Mais de quoi tu parles ? C'est l'état qui raque. Et dans le cas où des fraudes sont avérées (vioxx) les clauses ne jouent pas.
0	@username @username @username Certain(e)s devraient penser à prendre un xanax de temps en temps !
0	Dans Card Captor Sakura, l'anniversaire de Tomoyo Daidôji tombe le 3 septembre #birthday link
0	Le diclofenac mais c’est uniquement sur prescription médicale. link
0	@username @username @username XANAX TU VAS ENCORE ÉCRIRE UN TRUC EN 120 TWEETS
0	@username @username @username @username @username @username @username parmi mes irritants quotidiens: devoir compléter plusieurs demandes de médicaments d'exception par jour pour prescrire la duloxétine, efficace pour traiter la douleur et éviter les opioïdes, alors que des statines (inutiles à &gt;85 ans) sont prescrites par millions et sans problème
0	Veille Bibliographique de la SCVE : Relationship between metformin and abdominal aortic aneurysm link
0	j’ai montré la couleur que je veux faire à ma pote elle m’a dit tu deviens gothique. jesus ma ventoline
0	Rupture de stock du #Levothyrox: des Marocains craignent pour leur santé link link
0	   —  ️est ce que quelqu’un aurait trouvé une ventoline au gymnase du lycée mardi??? je l’ai oublié et c’est la seule… link
0	Je suis Sarah, déesse de la ventoline  Ah
0	LETTRE DE DEMANDE DE PERMISSION  Mr le Directeur General, Mn epoux avait lmigraine ce matin,et au lieu de prendre du Paracetamol il a pris un viagra accidentellement.Commela servante est ala maison,donc je ne pourrai pas venir travailler aujourd'hui.Cordialement votre secretraire
0	@username *toujours en overdose de xanax à cause de Monika*
0	#JeSuisClarisse et je vous emmerde ! test pas content prend un xanax
0	Donnait moi ma ventoline je m’étouffe tellement le gars n’y connais rien au rp      Mais au fond je l’aime  ️
0	@username @username JPP c'est J'en peux plus voilà :) Oh tu sais, G pris des somnifères pendant des années .A la longue ça ne fait plus rien.J'ai pris aussi du Xanax etc ss jamais abuser mais au quotidien .On en reparlera.Tjrs arrêter en diminuant,pas d'1 coup. Mais bon C au cas par cas :)
0	Harry Potter et le sildénafil.    (Pardon) link
0	@username @username @username @username Nan après y’a noam qui rentre dans le game dès qu’il a prit son XANAX
0	Le pain au pavot peut contenir... trop de morphine link
0	@username @username @username @username @username @username @username @username @username @username @username Docteur @username filez lui 2cc de morphine s’il vous plaît on a encore perdu le soldat Yary
0	Les équipes de Macron, pendant la présidentielle, se livraient à des orgies où circulait de la cocaïne au QG de campagne. Ceux qui gèrent celle de Loiseau doivent tourner au Prozac et à la bière Perlembourg de LIDL, tellement c'est déprimant. link
0	25 ball pr mdire que jdois prendre d xanax alr que j'en prend deja yes merci à tous
0	Un maire veut distribuer du viagra aux habitants pour les inciter à faire des enfants link
0	@username @username C’est tous les deux du metoprolol mais ... ils n’ont pas la même indication dans leurs AMM. Selozok est indiqué spécifiquement dans l’insuffisance cardiaque donc sous surveillance rapprochée d’un cardiologue à l’initiation du tt. Logimax est indiqué uniquement dans l’HTA
0	Bonsoir j'aime beaucoup le Xanax la drague Kev Adams link
1	@username @username @username Pourquoi? Perso je le préfère au tramadol qui pour moi est un truc vraiment merdique qui en plus fait criser. Ou j’utilise la codeine.
0	Par contre je me suis réveillée en faisant de l'asthme c'est horrible j'ai plus de ventoline
0	@username Mdrr moi en ventoline
0	@username @username Madame.. Je suis médecin et mon conseil est... Deux Xanax ou deux tranxene le soir au couché, parce que ne pas reconnaître une réaction au second degré impose un repos obligatoire
0	@username @username Tweet professeur  Legrand - stagiaire  doc.Homerin actu. Waterloo Une benzo =valium xanax tranxene Temesta etc la liste est longue Les fous sont pas  -là - où on l'croit Donc vous ne m y trouverez pas !?!?!?!?
0	j'ai besoins de ventoline la svp
0	@username Jm'en branle du courage, donnes moi de la vodka et du Xanax ça fera l'affaire  ༎ຶ‿༎ຶ
1	1 variation de l'absorption-diffusion de la lévothyroxine du nouveau #Levothyrox constituerait 1 stress physiologique perturbant l'équilibre thyroïdien. Cela expliquerait la fréquence des symptômes, y compris à bilan thyroïdien normal. link
0	Bon, j’ai acheté du valium. Je n’ai plus rien à la maison, ni subutex, ni tramadol, ni weed.
0	Je rentre xanax et dodo bye
0	J'ai eu le feu vert pour arrêter la pregabaline c'est cool  
0	Acheter Sildenafil Citrate Generique En France link link
0	Xanax, Lexomil, Lysanxia, Valium, lorazépam, Myolastan, ces médicaments qui rétrécissent le cerveau - link link
0	Bon du coup j'ai attrapé un virus et mon corps doit se défendre tout seul contre lui   je suis en arrêt demain et samedi et j'ai une espèce de ventoline comme pour l'asthme   
0	@username @username Les enfants d'enfants, c'était du naturel... mais ceux de maintenant là, y a trop d'ATTOTE et de viagra dans leurs hormones. C'est pr ça qu'ils sont si bruyants et surexcités. 
0	@username Haha c'est tellement moi aussi. Mais mon médecin m'encourage a faire du sport pour éviter les xanax donc ça devrait passer crème !
0	@username J’ai une ventoline si tu veux (fin pas là mdr)
0	@username Prévois de nous acheter des xanax.... On va vite saturer...
0	@username J'ai la ventoline de mon frère if you want
0	Xanax, Lexomil… : quelle proportion de Français concernée par une utilisation chronique  link
0	ils m’ont injecté une sorte de morphine je me sens si faible mdr je mets 4 minute à écrire ce tweet
0	Je sens mes poumons se comprimer et je commence à manquer d’air mais au lieu de réagir et de prendre la Ventoline je fais rien   ‍ ️ coucou c’est moi
0	Regardez, le veganisme, ça rend malade. Il sera obligé de prendre des corticos et de la ventoline pour se soigner...  
0	Alors j’ai mes clés, mes écouteurs, mon porte-feuille, mes clopes, une barre de céréale, du xanax, mon ego surdimensionné c’est bon j’peux sortir  
0	Parce que le médecin de famille de mon adolescence, homéopathe, qui a décidé que la meilleure option thérapeutique pour mes crises d'asthme était un putain de placebo sucré que je prenais consciencieusement et qui ne soulagerait rien, plutôt que de la ventoline, est un connard.
0	@username @username @username @username @username @username @username @username Deux Xanax pour la dame, merci.
0	27. Les filles quand un gars vous plaît vous attendez ou vous respirez un bon coup , préparez la ventoline et dites bismillah avant de pull up dans ses dm et lui dire ce que vous ressentez ? link
0	Besoin d’un xanax pour msentir mieux    #ESI #3èmeannée #stage
0	@username Je pense pas connaître, mon médecin traitant fonctionne toujours par ventoline + flixotide et cortisone en cachet si besoin
0	vrmt ma pire vie de plus avoir droit au xanax
0	J'ai plus de ventoline c'est la merde là
0	je suis le seul qui écoute rupaul à haute dose encore ? vraiment mon xanax musical
0	@username A toutes les personnes qui m’ont dis que je faisait de la comédie pour sortir de cours mais mon dieu lisez ça. Et honnêtement vous ne savez pas ce qui se passe dans la tête des gens l’année j’ai été mise sous xanax et sous antidépresseurs alors arrêter de juger les gens quand ils
0	elle est gentille, mignonne, drôle et encore plus sous Xanax, elle fais des crêpes qui finissent sur le plancher mais elles sont délicieuses.  allez la pecho. link
0	@username mdr toi t'as pris du xanax y'a que vous qui faites ca
0	@username Tu devrais prendre un Xanax tu as l’air surmené en ce moment ! Sûrement la #MarcheDeLaHonte ! Un peu de repos te ferait le plus grand bien !
0	J’aime bien l’anesthésiste de @username qui diminue ma dose de morphine alors que mes douleurs sont toujours les mêmes. Je pleure de douleur là et demain je dois rentrer chez moi. C’est pas normal.
0	Gestion de crise pour des laboratoires pharmaceutiques. Aux USA où on dénombre + de 400K morts par overdose de produits opiacés, OxyContin, Purdue, JetJ sont mis sur la sellette. En Chine également... #opiacés #gestiondecrise #opioids  link
